"CD19","CD64","CD303","CD34","CD141","CD61","CD123","CD66b","CD62L","ICAM-1","CD1c","CD86","CD14","CD11c","CD7","CD16","CD209","CD38","CD33","CD3","CD56","HLA-DR","CD274_PDL1","CD11b"
0,6.61861562728882,0,0.473214328289032,4.34604644775391,26.8616218566895,0.944072902202606,0,1.96874177455902,89.1041564941406,0.409146815538406,6.34601211547852,3.40863561630249,107.539184570312,2.24684548377991,0,0.175582006573677,5.84912300109863,10.3388633728027,0.824685990810394,0,89.8038864135742,3.56475615501404,810.593688964844
0,6.79260349273682,0,0.615994483232498,3.2380234003067,21.8385314941406,1.29244810342789,0,1.42552864551544,62.2874851226807,0,3.43809247016907,4.43075561523438,72.9027671813965,2.37004148960114,0,0,5.66560578346252,11.977961063385,0.953627705574036,0,29.5100135803223,1.81992799043655,623.670440673828
0,7.30493354797363,0,0.775964975357056,4.762291431427,22.5991630554199,1.28954803943634,0,1.22973895072937,64.7377090454102,0.00558586278930306,2.843825340271,4.95394706726074,61.3088569641113,1.81859409809113,0,0.199114993214607,6.47774028778076,12.5398664474487,0.448303759098053,0,28.9426727294922,1.38258099555969,499.353942871094
0,7.10288953781128,0,0.677205353975296,3.43827211856842,21.0717506408691,0.832935005426407,0,0.951418399810791,47.3849678039551,0,2.42085540294647,3.85078096389771,50.0017204284668,1.48078697919846,0,0,6.73680639266968,11.2983846664429,0.598960489034653,0,25.6315078735352,1.17515355348587,407.377700805664
0,8.12199878692627,0,0.765250235795975,12.6101136207581,27.5626783370972,2.23924207687378,0,1.59849387407303,80.5076103210449,0.156922861933708,3.98377728462219,6.2385413646698,65.2973518371582,2.48837351799011,0,0.168948195874691,8.25444316864014,17.0107049942017,1.28015100955963,0,26.8131303787231,2.10712420940399,351.560729980469
0,6.48017311096191,0,0.427303552627563,2.86035490036011,16.4240951538086,0.576744735240936,0,0.851732015609741,28.8286933898926,0,1.54876911640167,3.39701962471008,34.7146453857422,1.23957979679108,0,0,5.84766340255737,9.49065589904785,0.446345448493958,0,21.1676120758057,0.718856573104858,313.622833251953
0,7.75499391555786,0,0.361604556441307,1.8012176156044,17.9545669555664,0.17420244961977,0,1.04414850473404,22.1906929016113,0,1.50008827447891,2.63856565952301,32.0392799377441,0.934898287057877,0,0,6.13435506820679,6.53598022460938,0,0,18.860502243042,0.197662092745304,233.431282043457
0,6.34664487838745,0,0.35450267791748,1.85009944438934,14.9457807540894,0.233118951320648,0,0.83914041519165,16.1440525054932,0,1.40168011188507,1.29648232460022,26.4615001678467,1.08568465709686,0,0.0154839996248484,5.55962419509888,5.1130108833313,0.310770988464355,0,17.0743637084961,0.579539477825165,173.528427124023
0,4.50689363479614,0,0.433337733149529,1.07057017087936,16.0501766204834,0,0,0.603298932313919,9.9532356262207,0,0.835226804018021,0,25.0864562988281,0.944398045539856,0,0.113108117133379,4.56537795066833,3.06030142307281,0.525982946157455,0,16.7134113311768,0.432234808802605,126.659687042236
0,3.0486011505127,0,0.0578702986240387,0.636308372020721,14.0732851028442,0,0,0.703462541103363,7.72969913482666,0,0.332111001014709,0,14.5702085494995,1.06712794303894,0,0,4.20678043365479,1.64441084861755,0.0981693416833878,0,11.8748168945312,0.251998841762543,91.0594177246094
0,2.48661875724792,0,0.410955145955086,0.572641491889954,13.854287147522,0,0,0.763916254043579,5.937504529953,0,0.373798742890358,0,12.223539352417,1.01275700330734,0,0,3.5226548910141,1.01379388570786,0.722213536500931,0,12.6212782859802,0.543874084949493,59.3042030334473
0,1.44493901729584,0,0.348179548978806,0.0849397331476212,14.4198513031006,0,0,1.03551399707794,5.70925855636597,0,0,0,5.82205247879028,3.71308088302612,0,0.164525002241135,2.84469604492188,0,1.85594093799591,0.0904019996523857,7.75607681274414,0.695861160755157,29.122241973877
